"","analysisId","nctId","pValue","statisticalMethod","studyType","EARLY_PHASE1","PHASE1","PHASE2","PHASE3","PHASE4","outcomeTitle","outcomeType","groupDescription","conditionIds","briefTitle","has_less_than","N","model","I","R","C","JAB"
"1","04f8529e63a017fda3a52d14db4d11d2","NCT00023595",0.009,"Mann-Whitney","INTERVENTIONAL",0,0,0,1,0,"H01: KCCQ Symptom Stability","SECONDARY",NA,"D006333; D002318; D006331; D003327","Comparison of Surgical and Medical Treatment for Congestive Heart Failure and Coronary Artery Disease",FALSE,1194,"mann_whitney",NA,NA,NA,1.14336521708696
"2","05bbf20a4308fdde29bb7a225a39b604","NCT01638000",0.009,"Logistic regression","INTERVENTIONAL",0,0,0,1,0,"Percentage of Participants With Improvement of Treatment Satisfaction Questionnaire - Likert Scale: ≥1, ≥2, ≥3, ≥4, ≥5, and 6-point Improvement From Baseline to Week 12","SECONDARY","Week 12 (≥1 point improvement) Odds Rato vs. Mirabegron","D053201; D014570; D001745","A Study to Evaluate the Efficacy and Safety of Mirabegron Compared to Solifenacin in Patients With Overactive Bladder Who Were Previously Treated With Another Medicine But Were Not Satisfied With That Treatment.",FALSE,1747,"logistic_regression",NA,NA,NA,1.381772317663
"3","0762d788d30bea044e9f39b55989b6f5","NCT02528188",0.006,"Logistic regression","INTERVENTIONAL",0,0,0,1,0,"Percentage of Participants Achieving Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) Physical Function Subscale Reduction of >=30%, >=50%, >=70% and >=90% Response at Weeks 2, 4, 8, 16, 24, 32, 40, 48, 56 and 64","SECONDARY","Week 4: \>=70% reduction","D010003; D020370; D015207; D059350","Long Term Safety and Efficacy Study of Tanezumab in Subjects With Osteoarthritis of the Hip or Knee",FALSE,1994,"logistic_regression",NA,NA,NA,1.02602381662469
"4","079e25c5fa0d4770351b4722417bbbe3","NCT02528188",0.0059,"Logistic regression","INTERVENTIONAL",0,0,0,1,0,"Percentage of Participants Meeting Outcome Measures in Arthritis Clinical Trials-Osteoarthritis Research Society International (OMERACT-OARSI) Responder Index at Weeks 2, 4, 8, 16, 24, 32, 40, 48, 56 and 64","SECONDARY","Week 4","D010003; D020370; D015207; D059350","Long Term Safety and Efficacy Study of Tanezumab in Subjects With Osteoarthritis of the Hip or Knee",FALSE,1998,"logistic_regression",NA,NA,NA,1.0116180724855
"5","0e3cdc7c0fed523b8575350a066a49b5","NCT02528188",0.0079,"Logistic regression","INTERVENTIONAL",0,0,0,1,0,"Percentage of Participants Achieving Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) Pain Subscale Reduction >=30 Percent (%), >=50%, >=70% and >=90% Response at Weeks 2, 4, 8, 16, 24, 32, 40, 48, 56 and 64","SECONDARY","Week 4: \>=50% reduction","D010003; D020370; D015207; D059350","Long Term Safety and Efficacy Study of Tanezumab in Subjects With Osteoarthritis of the Hip or Knee",FALSE,1998,"logistic_regression",NA,NA,NA,1.31483938037962
"6","0ee92e13f4634d01b148f2122962b3dd","NCT00094302",0.01,"Linear regression","INTERVENTIONAL",0,0,0,1,0,"Potassium","SECONDARY","Since the p-value for the preceding test (Statistical Analysis 1) was not significant at the 0.05 level, another generalized linear model was fit, omitting the interaction between treatment group and month of visit. This tests whether the value of the post-baseline laboratory parameter differs by treatment group, taking into account that measurements in the same subject over time may be correlated.","D006333; D002318; D006331","Aldosterone Antagonist Therapy for Adults With Heart Failure and Preserved Systolic Function",TRUE,3445,"linear_regression",NA,NA,NA,2.12942984619502
"7","0fbd6baec27178049c0e5901e354b893","NCT00337727",0.01,"Logistic regression","INTERVENTIONAL",0,0,0,1,0,"Number of Patients Who Reported Complete Response","SECONDARY",NA,"D009325; D014839","Aprepitant for the Prevention of Chemotherapy Induced Nausea and Vomiting (CINV)(0869-130)(COMPLETED)",TRUE,832,"logistic_regression",NA,NA,NA,1.04964838595516
"8","11052175734cc6a84a54644c9365937e","NCT00556374",0.007,"Logistic regression","INTERVENTIONAL",0,0,0,1,0,"Number of Participants With New or Worsening Vertebral Fractures","SECONDARY",NA,"D001943","Study to Determine Treatment Effects of Denosumab in Patients With Breast Cancer Receiving Aromatase Inhibitor Therapy",FALSE,1644,"logistic_regression",NA,NA,NA,1.07054865380522
"9","118f1e14a7c8b5b11e370195c6aae47f","NCT02528188",0.0077,"Logistic regression","INTERVENTIONAL",0,0,0,1,0,"Percentage of Participants Achieving Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) Physical Function Subscale Reduction of >=30%, >=50%, >=70% and >=90% Response at Weeks 2, 4, 8, 16, 24, 32, 40, 48, 56 and 64","SECONDARY","Week 8: \>=70% reduction","D010003; D020370; D015207; D059350","Long Term Safety and Efficacy Study of Tanezumab in Subjects With Osteoarthritis of the Hip or Knee",FALSE,1994,"logistic_regression",NA,NA,NA,1.28370859508888
"10","1275bf5f32a561db3fa165ddcb342e6b","NCT05012163",0.002,"Linear regression","INTERVENTIONAL",0,0,0,0,0,"Flu Vaccination at Appointment","PRIMARY","Null hypothesis: There is no difference in vaccination rates between patients sent messages offering $1 cash in exchange for vaccination and those sent no study messages; Alternative hypothesis: the vaccination rate is higher in patients sent messages offering $1 cash compared to those who were not sent messages.","D007251","Lottery Incentive Nudges to Increase Influenza Vaccinations",FALSE,28792,"linear_regression",NA,NA,NA,1.43236139635449
